timestamp,ip,score,decision,rule_id

2025-09-12T17:02:48.336321,192.168.0.22,0.57,SUSPICIOUS,heuristic

2025-09-12T17:03:04.339335,192.168.0.10,0.28,NORMAL,
2025-09-12T17:03:08.340308,10.0.0.5,0.86,BLOCKED,iso_forest
2025-09-13T15:46:50.462928,192.168.0.107,0.0,NORMAL,
2025-09-13T15:46:50.486156,192.168.0.107,0.0,NORMAL,
2025-09-13T15:46:50.508568,151.101.209.91,0.0,NORMAL,
2025-09-13T15:46:52.551847,192.168.0.107,0.0,NORMAL,
2025-09-13T15:46:52.572930,104.18.36.169,0.0,NORMAL,
2025-09-13T15:46:56.653708,192.168.0.1,0.0,NORMAL,
2025-09-13T15:46:58.702060,192.168.0.1,0.0,NORMAL,
2025-09-13T15:47:00.750331,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:00.771428,151.101.209.91,0.0,NORMAL,
2025-09-13T15:47:00.792456,192.168.0.1,0.0,NORMAL,
2025-09-13T15:47:00.816742,151.101.209.91,0.0,NORMAL,
2025-09-13T15:47:00.841971,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:02.888893,151.101.209.91,0.0,NORMAL,
2025-09-13T15:47:02.914403,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:02.939144,172.64.148.235,0.0,NORMAL,
2025-09-13T15:47:02.964379,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:02.988951,192.168.0.1,0.0,NORMAL,
2025-09-13T15:47:03.013641,20.207.73.82,0.0,NORMAL,
2025-09-13T15:47:05.101642,185.199.109.154,0.0,NORMAL,
2025-09-13T15:47:05.122741,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:05.143656,185.199.108.133,0.0,NORMAL,
2025-09-13T15:47:05.164484,20.207.73.82,0.0,NORMAL,
2025-09-13T15:47:05.185334,192.168.0.1,0.0,NORMAL,
2025-09-13T15:47:05.206077,20.207.73.85,0.0,NORMAL,
2025-09-13T15:47:05.227223,20.207.73.82,0.0,NORMAL,
2025-09-13T15:47:05.248129,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:05.268852,140.82.112.21,0.0,NORMAL,
2025-09-13T15:47:05.289647,20.207.73.85,0.0,NORMAL,
2025-09-13T15:47:05.310455,140.82.112.25,0.0,NORMAL,
2025-09-13T15:47:05.331193,185.199.109.154,0.0,NORMAL,
2025-09-13T15:47:05.351924,185.199.108.133,0.0,NORMAL,
2025-09-13T15:47:07.402783,140.82.112.25,0.0,NORMAL,
2025-09-13T15:47:07.424211,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:07.446151,185.199.109.154,0.0,NORMAL,
2025-09-13T15:47:07.469068,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:07.491140,20.207.73.82,0.0,NORMAL,
2025-09-13T15:47:07.512379,20.207.73.85,0.0,NORMAL,
2025-09-13T15:47:09.556688,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:09.579299,185.199.109.154,0.0,NORMAL,
2025-09-13T15:47:09.600184,20.207.73.85,0.0,NORMAL,
2025-09-13T15:47:11.651254,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:11.674422,57.144.125.32,0.0,NORMAL,
2025-09-13T15:47:15.779199,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:15.806035,20.207.73.82,0.0,NORMAL,
2025-09-13T15:47:15.830182,140.82.112.21,0.0,NORMAL,
2025-09-13T15:47:15.853017,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:15.875821,20.207.73.82,0.0,NORMAL,
2025-09-13T15:47:15.898527,185.199.109.154,0.0,NORMAL,
2025-09-13T15:47:15.921259,185.199.108.133,0.0,NORMAL,
2025-09-13T15:47:15.943867,140.82.112.25,0.0,NORMAL,
2025-09-13T15:47:15.966366,20.207.73.85,0.0,NORMAL,
2025-09-13T15:47:18.017597,140.82.112.25,0.0,NORMAL,
2025-09-13T15:47:18.039434,20.207.73.82,0.0,NORMAL,
2025-09-13T15:47:18.061741,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:18.083251,185.199.108.133,0.0,NORMAL,
2025-09-13T15:47:18.104771,140.82.112.21,0.0,NORMAL,
2025-09-13T15:47:18.126142,140.82.112.25,0.0,NORMAL,
2025-09-13T15:47:20.179143,20.207.73.82,0.0,NORMAL,
2025-09-13T15:47:20.202018,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:20.224691,57.144.125.32,0.0,NORMAL,
2025-09-13T15:47:20.246919,20.207.73.85,0.0,NORMAL,
2025-09-13T15:47:22.298552,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:22.325857,140.82.112.21,0.0,NORMAL,
2025-09-13T15:47:22.348859,172.64.148.235,0.0,NORMAL,
2025-09-13T15:47:22.375321,57.144.125.32,0.0,NORMAL,
2025-09-13T15:47:26.451197,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:26.474089,140.82.112.21,0.0,NORMAL,
2025-09-13T15:47:28.513911,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:28.536946,57.144.125.32,0.0,NORMAL,
2025-09-13T15:47:28.559852,140.82.112.25,0.0,NORMAL,
2025-09-13T15:47:28.582835,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:28.605680,192.168.0.105,0.0,NORMAL,
2025-09-13T15:47:30.647022,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:30.668029,140.82.112.25,0.0,NORMAL,
2025-09-13T15:47:36.764674,192.168.0.107,0.0,NORMAL,
2025-09-13T15:47:36.787704,172.64.155.209,0.0,NORMAL,
2025-09-13T15:48:35.314073,192.168.0.107,0.0,NORMAL,
2025-09-13T15:48:35.335550,172.64.155.209,0.0,NORMAL,
2025-09-13T15:48:37.376785,192.168.0.1,0.0,NORMAL,
2025-09-13T15:48:39.419746,192.168.0.107,0.0,NORMAL,
2025-09-13T15:48:39.853322,192.168.0.10,0.33,NORMAL,
2025-09-13T15:48:41.464092,192.168.0.107,0.0,NORMAL,
2025-09-13T15:48:41.485041,34.107.243.93,0.0,NORMAL,
2025-09-13T15:48:43.538415,172.64.148.235,0.0,NORMAL,
2025-09-13T15:48:43.559725,192.168.0.107,0.0,NORMAL,
2025-09-13T15:48:43.581876,192.168.0.107,0.0,NORMAL,
2025-09-13T15:48:43.604745,151.101.209.91,0.0,NORMAL,
2025-09-13T15:48:43.853962,192.168.0.10,0.04,NORMAL,
2025-09-13T15:48:45.647576,192.168.0.105,0.0,NORMAL,
2025-09-13T15:48:45.668432,192.168.0.103,0.0,NORMAL,
2025-09-13T15:48:47.854920,192.168.0.10,0.79,SUSPICIOUS,heuristic
2025-09-13T15:48:51.855514,8.8.8.8,0.31,NORMAL,
2025-09-13T15:48:53.789728,192.168.0.107,0.0,NORMAL,
2025-09-13T15:48:53.810604,57.144.124.34,0.0,NORMAL,
2025-09-13T15:48:55.856047,192.168.0.22,0.69,SUSPICIOUS,heuristic
2025-09-13T15:48:57.879001,192.168.0.107,0.0,NORMAL,
2025-09-13T15:48:57.900711,57.144.125.32,0.0,NORMAL,
2025-09-13T15:48:59.857173,203.0.113.15,0.75,SUSPICIOUS,heuristic
2025-09-13T15:48:59.942595,192.168.0.107,0.0,NORMAL,
2025-09-13T15:48:59.965019,151.101.209.91,0.0,NORMAL,
2025-09-13T15:49:02.004963,192.168.0.107,0.0,NORMAL,
2025-09-13T15:49:02.025895,185.199.109.154,0.0,NORMAL,
2025-09-13T15:49:02.047041,172.64.148.235,0.0,NORMAL,
2025-09-13T15:49:03.858004,192.168.0.10,0.62,SUSPICIOUS,heuristic
2025-09-13T15:49:06.106104,192.168.0.105,0.0,NORMAL,
2025-09-13T15:49:07.858639,192.168.0.10,0.53,SUSPICIOUS,heuristic
2025-09-13T15:49:11.859188,10.0.0.5,0.6,SUSPICIOUS,heuristic
2025-09-13T15:49:14.216257,192.168.0.107,0.0,NORMAL,
2025-09-13T15:49:14.237351,185.199.109.154,0.0,NORMAL,
2025-09-13T15:49:14.258480,185.199.108.133,0.0,NORMAL,
2025-09-13T15:49:15.860206,192.168.0.10,0.83,BLOCKED,iso_forest
2025-09-13T15:49:18.328961,192.168.0.107,0.0,NORMAL,
2025-09-13T15:49:18.349868,57.144.125.32,0.0,NORMAL,
2025-09-13T15:49:19.860983,192.168.0.22,0.59,SUSPICIOUS,heuristic
2025-09-13T15:49:20.386122,192.168.0.107,0.0,NORMAL,
2025-09-13T15:49:20.407678,140.82.112.21,0.0,NORMAL,
2025-09-13T15:49:20.428941,192.168.0.107,0.0,NORMAL,
2025-09-13T15:49:22.470588,140.82.112.21,0.0,NORMAL,
2025-09-13T15:49:22.492345,192.168.0.107,0.0,NORMAL,
2025-09-13T15:49:22.515337,172.64.148.235,0.0,NORMAL,
2025-09-13T15:49:22.536696,172.64.148.235,0.0,NORMAL,
2025-09-13T15:49:23.862230,8.8.8.8,0.7,SUSPICIOUS,heuristic
2025-09-13T15:49:27.863002,8.8.8.8,0.86,BLOCKED,iso_forest
2025-09-13T15:49:31.863537,8.8.8.8,0.46,NORMAL,
2025-09-13T15:49:35.864079,203.0.113.15,0.87,BLOCKED,iso_forest
2025-09-13T15:49:39.865179,8.8.8.8,0.71,SUSPICIOUS,heuristic
2025-09-13T15:49:43.865954,203.0.113.15,0.37,NORMAL,
2025-09-13T18:29:27.578912,172.64.148.235,0.0,NORMAL,
2025-09-13T18:29:27.600157,192.168.0.107,0.0,NORMAL,
2025-09-13T18:29:31.661797,192.168.0.107,0.0,NORMAL,
2025-09-13T18:29:31.686704,160.191.28.187,0.0,NORMAL,
2025-09-13T18:29:31.715584,192.168.0.107,0.0,NORMAL,
2025-09-13T18:29:31.745455,57.144.125.32,0.0,NORMAL,
2025-09-13T18:29:31.773055,172.64.148.235,0.0,NORMAL,
2025-09-13T18:29:33.817545,192.168.0.107,0.0,NORMAL,
2025-09-13T18:29:33.842410,172.64.148.235,0.0,NORMAL,
2025-09-13T18:29:33.867259,192.168.0.107,0.0,NORMAL,
2025-09-13T18:29:35.911976,192.168.0.1,0.0,NORMAL,
